Player,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
47,Danilo,br BRA,"MF,FW",Nott'ham Forest,22-171,2001,4,4,283,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,7,7,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
48,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31-127,1992,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,5,2,0,0,0,0,0,0.52,0,0.52,0.52,0.52,Matches
49,Diego Carlos,br BRA,DF,Aston Villa,30-216,1993,5,3,252,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,9,0,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
50,Antony,br BRA,"FW,MF",Manchester Utd,23-235,2000,5,4,336,3.7,0,0,0,0,0,0,1,0,0.7,0.7,0.8,1.5,18,18,52,0,0,0,0,0,0.19,0.22,0.41,0.19,0.41,Matches
51,Alisson,br BRA,GK,Liverpool,31-015,1992,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Willian,br BRA,FW,Fulham,35-069,1988,7,5,445,4.9,1,0,1,1,0,0,1,0,0.9,0.9,0.3,1.2,23,31,44,0.2,0,0.2,0.2,0.2,0.19,0.06,0.25,0.19,0.25,Matches
53,Carlos Vinícius,br BRA,FW,Fulham,28-206,1995,4,1,156,1.7,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,2,2,8,0.58,0,0.58,0.58,0.58,0.34,0.32,0.66,0.34,0.66,Matches
54,Richarlison,br BRA,FW,Tottenham,26-160,1997,8,5,395,4.4,1,2,3,1,0,0,2,0,2.5,2.5,0.8,3.4,7,12,37,0.23,0.46,0.68,0.23,0.68,0.58,0.19,0.77,0.58,0.77,Matches
55,Andreas Pereira,br BRA,MF,Fulham,27-289,1996,8,7,550,6.1,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,8,17,25,0.16,0.16,0.33,0.16,0.33,0.09,0.18,0.27,0.09,0.27,Matches
56,Lucas Paquetá,br BRA,"MF,FW",West Ham,26-051,1997,8,8,707,7.9,1,1,2,0,1,1,4,0,1.4,0.7,1.4,2.1,8,48,20,0.13,0.13,0.25,0,0.13,0.18,0.18,0.37,0.08,0.27,Matches
